gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
龙爪树村志,241,共产党员 CCP Membership,女 Female,2013,2013,117.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1987,1987,127.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1990,1990,134.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1991,1991,143.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1993,1993,153.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1994,1994,154.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,1998,1998,169.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,2012,2012,231.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,总 Total,2013,2013,304.0,人数 Number of People
龙爪树村志,241,共产党员 CCP Membership,男 Male,2013,2013,187.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1992,1992,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1993,1993,2.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1994,1994,4.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1995,1995,4.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1996,1996,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1997,1997,1.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1998,1998,2.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,1999,1999,2.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2000,2000,2.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2001,2001,1.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2002,2002,1.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2003,2003,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2004,2004,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2005,2005,2.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2006,2006,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2007,2007,1.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2008,2008,4.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2009,2009,4.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2010,2010,4.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2011,2011,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2012,2012,3.0,人数 Number of People
龙爪树村志,241,入伍 Military Enlistment,null,2013,2013,2.0,人数 Number of People
龙爪树村志,241,新党员 New CCP Membership,总 Total,2007,2010,10.0,人数 Number of People
