gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
枫树岗村志,288,小学在校生 Elementary School Students,null,1953,1953,100.0,无记录 No record
枫树岗村志,288,小学在校生 Elementary School Students,null,1958,1958,90.0,无记录 No record
枫树岗村志,288,小学在校生 Elementary School Students,null,1960,1960,70.0,无记录 No record
枫树岗村志,288,小学在校生 Elementary School Students,null,1965,1965,30.0,无记录 No record
枫树岗村志,288,小学在校生 Elementary School Students,null,1978,1978,155.0,无记录 No record
枫树岗村志,288,小学老师 Elementary School Teachers,null,1958,1958,6.0,无记录 No record
枫树岗村志,288,小学老师 Elementary School Teachers,null,1960,1960,5.0,无记录 No record
枫树岗村志,288,小学老师 Elementary School Teachers,null,1965,1965,2.0,无记录 No record
