gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
王兰庄村志,546,共产党员 CCP Membership,女 Female,1951,1951,2.0,人数 Number of People
王兰庄村志,546,共产党员 CCP Membership,总 Total,1986,1986,43.0,人数 Number of People
王兰庄村志,546,共产党员 CCP Membership,总 Total,1998,1998,53.0,人数 Number of People
王兰庄村志,546,共产党员 CCP Membership,男 Male,1951,1951,7.0,人数 Number of People
王兰庄村志,546,新党员 New CCP Membership,总 Total,1994,1998,7.0,人数 Number of People
王兰庄村志,546,新党员 New CCP Membership,总 Total,1999,2005,21.0,人数 Number of People
