gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
南胜村志,221,共产党员 CCP Membership,女 Female,2011,2011,34.0,人数 Number of People
南胜村志,221,共产党员 CCP Membership,总 Total,1966,1966,39.0,人数 Number of People
南胜村志,221,共产党员 CCP Membership,总 Total,1984,1984,93.0,人数 Number of People
南胜村志,221,共产党员 CCP Membership,总 Total,2011,2011,147.0,人数 Number of People
南胜村志,221,入伍 Military Enlistment,null,1949,2011,148.0,人数 Number of People
南胜村志,221,新党员 New CCP Membership,总 Total,1949,1959,14.0,人数 Number of People
南胜村志,221,新党员 New CCP Membership,总 Total,1984,1987,14.0,人数 Number of People
南胜村志,221,新党员 New CCP Membership,总 Total,1988,1999,25.0,人数 Number of People
南胜村志,221,新党员 New CCP Membership,总 Total,2000,2011,10.0,人数 Number of People
