gazetteerName,gazetteerId,category1,category2,category3,startYear,endYear,data,unit
南胜村志,221,人均收入 Per Capita Income,null,null,1991,1991,1441.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1992,1992,1617.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1993,1993,1781.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1994,1994,2037.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1995,1995,2496.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1996,1996,3761.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1997,1997,2993.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1998,1998,3027.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1999,1999,3385.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2000,2000,3781.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2001,2001,6434.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2002,2002,5183.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2003,2003,5656.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2004,2004,5996.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2005,2005,6354.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2006,2006,6734.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2007,2007,7136.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2008,2008,7572.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2009,2009,8532.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2010,2010,9761.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,2011,2011,10253.0,元 yuan
南胜村志,221,人均居住面积 Per Capita Living Space,null,null,2011,2011,52.9,平方米 square meters
南胜村志,221,电价 Electricity Price,General,null,1965,1965,0.24,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1987,1987,0.21,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1992,1992,0.25,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1993,1993,0.3,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1994,1994,0.45,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1996,1996,0.55,元每千瓦时/度 yuan per kilowatt-hour
南胜村志,221,电价 Electricity Price,General,null,1997,1997,0.617,元每千瓦时/度 yuan per kilowatt-hour
