gazetteerName,gazetteerId,category1,category2,category3,startYear,endYear,data,unit
南胜村志,221,总产值 Gross Output Value,第二产业 Secondary Industry,null,1974,1974,12.4,万元 10K yuan
南胜村志,221,总产值 Gross Output Value,第二产业 Secondary Industry,null,1984,1984,224.17,万元 10K yuan
南胜村志,221,总产值 Gross Output Value,第二产业 Secondary Industry,null,1994,1994,1532.0,万元 10K yuan
南胜村志,221,总产值 Gross Output Value,第二产业 Secondary Industry,null,2011,2011,9500.0,万元 10K yuan
南胜村志,221,集体经济收入 Collective Economic Income,总 Total,null,2006,2006,9439.0,万元 10K yuan
南胜村志,221,集体经济收入 Collective Economic Income,总 Total,null,2011,2011,10988.0,万元 10K yuan
南胜村志,221,集体经济收入 Collective Economic Income,第二产业 Secondary Industry,null,2006,2006,8500.0,万元 10K yuan
南胜村志,221,集体经济收入 Collective Economic Income,第二产业 Secondary Industry,null,2011,2011,9500.0,万元 10K yuan
南胜村志,221,耕地面积 Cultivated Area,null,null,2011,2011,189.6,公顷 hectares
南胜村志,221,人均收入 Per Capita Income,null,null,1958,1958,90.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1959,1959,100.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1960,1960,116.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1961,1961,98.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1962,1962,94.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1963,1963,95.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1964,1964,121.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1965,1965,138.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1966,1966,144.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1967,1967,159.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1968,1968,198.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1969,1969,184.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1970,1970,149.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1971,1971,146.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1972,1972,153.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1973,1973,152.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1974,1974,171.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1975,1975,175.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1976,1976,156.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1977,1977,176.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1978,1978,232.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1979,1979,238.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1980,1980,199.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1981,1981,207.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1982,1982,218.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1983,1983,224.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1984,1984,705.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1985,1985,824.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1986,1986,925.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1987,1987,1102.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1988,1988,1162.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1989,1989,1096.0,元 yuan
南胜村志,221,人均收入 Per Capita Income,null,null,1990,1990,1321.0,元 yuan
