gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
南胜村志,221,受教育程度 Highest Level of Education,中专高中 High School,2003,2003,235.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,中专高中 High School,2011,2011,389.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,初中 Junior High School,2003,2003,1067.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,初中 Junior High School,2011,2011,1180.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,大专以上 College/University or Higher,2003,2003,53.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,大专以上 College/University or Higher,2011,2011,333.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,小学 Elementary School,2003,2003,1316.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,小学 Elementary School,2011,2011,969.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,文盲 Illiterate,2003,2003,365.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,文盲 Illiterate,2011,2011,237.0,人数 number of people
南胜村志,221,受教育程度 Highest Level of Education,中专高中 High School,2003,2003,7.7,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,中专高中 High School,2011,2011,12.5,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,初中 Junior High School,2003,2003,35.8,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,初中 Junior High School,2011,2011,37.9,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,大专以上 College/University or Higher,2003,2003,1.7,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,大专以上 College/University or Higher,2011,2011,10.6,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,小学 Elementary School,2003,2003,42.5,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,小学 Elementary School,2011,2011,31.2,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,文盲 Illiterate,2003,2003,12.3,百分比 (%) percentage
南胜村志,221,受教育程度 Highest Level of Education,文盲 Illiterate,2011,2011,7.6,百分比 (%) percentage
南胜村志,221,新入学生 - 大学 Initial Student Enrollment - College/University,null,1959,2011,224.0,无记录 No record
