gazetteerName,gazetteerId,category1,category2,startYear,endYear,data,unit
杨树林子村志,168,人口 Population,总人口 Total Population,1949,1952,1100.0,人数 number of people
杨树林子村志,168,人口 Population,总人口 Total Population,2000,2010,1200.0,人数 number of people
杨树林子村志,168,人口 Population,总人口 Total Population,2016,2016,1700.0,人数 number of people
杨树林子村志,168,人口 Population,男性人口 Male Population,1949,1952,600.0,人数 number of people
杨树林子村志,168,人口 Population,女性人口 Female Population,1949,1952,500.0,人数 number of people
杨树林子村志,168,迁入 Migration In,知识青年 Educated Youth,1976,1976,36.0,人数 number of people
