gazetteerName,gazetteerId,category1,category2,category3,startYear,endYear,data,unit
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1950,1969,1100.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1954,1954,1048.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1977,1979,750.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1983,1994,384.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1985,1985,900.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,1995,1995,220.0,亩 mu
王兰庄村志,546,耕地面积 Cultivated Area,null,null,2001,2013,382.0,亩 mu
王兰庄村志,546,人均收入 Per Capita Income,null,null,1964,1964,76.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,1980,1980,298.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,1986,1986,1130.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,1992,1992,1955.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,1995,1995,4138.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,2010,2010,15000.0,元 yuan
王兰庄村志,546,人均收入 Per Capita Income,null,null,2016,2016,27000.0,元 yuan
王兰庄村志,546,人均居住面积 Per Capita Living Space,null,null,2003,2003,37.0,平方米 square meters
王兰庄村志,546,人均居住面积 Per Capita Living Space,null,null,2016,2016,70.0,平方米 square meters
