gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
134,134,1,3,NULL
134,134,2,2,520
134,134,3,1,5.6
135,135,1,3,NULL
135,135,2,2,399.8
135,135,3,1,6.9
136,136,1,3,NULL
136,136,2,2,NULL
136,136,3,1,25
137,137,1,3,NULL
137,137,2,2,1308.1
137,137,3,1,15.9
138,138,1,3,680
138,138,2,2,NULL
138,138,3,1,NULL
139,139,1,3,NULL
139,139,2,2,1200
139,139,3,1,15
140,140,1,3,450
140,140,2,2,1200
140,140,3,1,17
141,141,1,3,NULL
141,141,2,2,359
141,141,3,1,7
142,142,1,3,1122
142,142,2,2,202.4
142,142,3,1,8.6
144,144,1,3,NULL
144,144,2,2,NULL
144,144,3,1,16
145,145,1,3,NULL
145,145,2,2,884.6
145,145,3,1,15.9
146,146,1,3,545
146,146,2,2,400
146,146,3,1,22
148,148,1,3,1063
148,148,2,2,350
148,148,3,1,6
149,149,1,3,NULL
149,149,2,2,345
149,149,3,1,NULL
150,150,1,3,NULL
150,150,2,2,1100
150,150,3,1,14
151,151,1,3,NULL
151,151,2,2,570
151,151,3,1,12.8
152,152,1,3,15
152,152,2,2,NULL
152,152,3,1,NULL
153,153,1,3,NULL
153,153,2,2,1378.4
153,153,3,1,18.9
154,154,1,3,NULL
154,154,2,2,878.6
154,154,3,1,15.2
156,156,1,3,NULL
156,156,2,2,1346
156,156,3,1,NULL
157,157,1,3,NULL
157,157,2,2,1083
157,157,3,1,18.1
158,158,1,3,NULL
158,158,2,2,1282.8
158,158,3,1,17
159,159,1,3,491
159,159,2,2,584.8
159,159,3,1,13.3
160,160,1,3,2200
160,160,2,2,NULL
160,160,3,1,NULL
161,161,1,3,420
161,161,2,2,1093.3
161,161,3,1,16.4
162,162,1,3,NULL
162,162,2,2,1350
162,162,3,1,16
164,164,1,3,NULL
164,164,2,2,400
164,164,3,1,1
166,166,1,3,4
166,166,2,2,600
166,166,3,1,12
169,169,1,3,NULL
169,169,2,2,670
169,169,3,1,NULL
170,170,1,3,2340
170,170,2,2,345
170,170,3,1,NULL
171,171,1,3,NULL
171,171,2,2,1350
171,171,3,1,16.8
172,172,1,3,1334.5
172,172,2,2,103.2
172,172,3,1,7.8
173,173,1,3,NULL
173,173,2,2,1100
173,173,3,1,17.8
174,174,1,3,NULL
174,174,2,2,1580
174,174,3,1,18
176,176,1,3,1763
176,176,2,2,349.3
176,176,3,1,6.7
177,177,1,3,1890
177,177,2,2,1125
177,177,3,1,20
178,178,1,3,5
178,178,2,2,558
178,178,3,1,12.2
180,180,1,3,418
180,180,2,2,510
180,180,3,1,3.5
185,185,1,3,NULL
185,185,2,2,300
185,185,3,1,23
186,186,1,3,NULL
186,186,2,2,1440
186,186,3,1,15.8
187,187,1,3,NULL
187,187,2,2,610.9
187,187,3,1,14
189,189,1,3,NULL
189,189,2,2,500
189,189,3,1,11.5
190,190,1,3,NULL
190,190,2,2,641.7
190,190,3,1,10.7
191,191,1,3,NULL
191,191,2,2,1700
191,191,3,1,22
193,193,1,3,NULL
193,193,2,2,2000
193,193,3,1,22
195,195,1,3,2096
195,195,2,2,1540.5
195,195,3,1,15
196,196,1,3,NULL
196,196,2,2,486
196,196,3,1,9.7
197,197,1,3,NULL
197,197,2,2,648.9
197,197,3,1,NULL
198,198,1,3,NULL
198,198,2,2,456.6
198,198,3,1,9.2
199,199,1,3,2.42
199,199,2,2,1047
199,199,3,1,15.5
200,200,1,3,500
200,200,2,2,NULL
200,200,3,1,NULL
201,201,1,3,NULL
201,201,2,2,1088.6
