gazetteerId,villageInnerId,categoryId,unitId,data
278.0,278.0,3,1,18.5
279.0,279.0,3,1,7.2
280.0,280.0,3,1,13.4
281.0,281.0,3,1,6
283.0,283.0,3,1,10
286.0,286.0,3,1,11.7
287.0,287.0,3,1,15.7
289.0,289.0,3,1,19
291.0,291.0,3,1,11.8
292.0,292.0,3,1,13.5
293.0,293.0,3,1,8.8
294.0,294.0,3,1,13.3
297.0,297.0,3,1,NULL
299.0,299.0,3,1,7
300.0,300.0,3,1,13.2
302.0,302.0,3,1,12
303.0,303.0,3,1,8.3
304.0,304.0,3,1,20
305.0,305.0,3,1,14
306.0,306.0,3,1,16
307.0,307.0,3,1,14.2
309.0,309.0,3,1,15.7
310.0,310.0,3,1,13
313.0,313.0,3,1,13
314.0,314.0,3,1,20.5
315.0,315.0,3,1,14.2
316.0,316.0,3,1,14.2
317.0,317.0,3,1,1.4
319.0,319.0,3,1,14.3
321.0,321.0,3,1,16
322.0,322.0,3,1,20
323.0,323.0,3,1,14
325.0,325.0,3,1,13.3
327.0,327.0,3,1,7.8
329.0,329.0,3,1,10.3
330.0,330.0,3,1,8.4
333.0,333.0,3,1,14
335.0,335.0,3,1,12.6
336.0,336.0,3,1,10.7
337.0,337.0,3,1,15.2
338.0,338.0,3,1,14.4
340.0,340.0,3,1,14.3
341.0,341.0,3,1,10.3
342.0,342.0,3,1,NULL
343.0,343.0,3,1,10.2
344.0,344.0,3,1,NULL
346.0,346.0,3,1,14
347.0,347.0,3,1,11.8
348.0,348.0,3,1,16
349.0,349.0,3,1,NULL
350.0,350.0,3,1,15
351.0,351.0,3,1,NULL
352.0,352.0,3,1,16.6
353.0,353.0,3,1,10
354.0,354.0,3,1,17.4
355.0,355.0,3,1,13.1
356.0,356.0,3,1,NULL
357.0,357.0,3,1,11.2
358.0,358.0,3,1,10.7
359.0,359.0,3,1,22
360.0,360.0,3,1,21.9
361.0,361.0,3,1,22
363.0,363.0,3,1,21.8
365.0,365.0,3,1,21.7
366.0,366.0,3,1,14
367.0,367.0,3,1,15
368.0,368.0,3,1,22
369.0,369.0,3,1,14
370.0,370.0,3,1,14.5
371.0,371.0,3,1,15.2
372.0,372.0,3,1,14.4
373.0,373.0,3,1,15.4
374.0,374.0,3,1,16.4
375.0,375.0,3,1,15.5
377.0,377.0,3,1,13
378.0,378.0,3,1,NULL
380.0,380.0,3,1,10
381.0,381.0,3,1,12.3
382.0,382.0,3,1,21.4
383.0,383.0,3,1,14.2
386.0,386.0,3,1,9
387.0,387.0,3,1,24
388.0,388.0,3,1,NULL
390.0,390.0,3,1,NULL
391.0,391.0,3,1,15
392.0,392.0,3,1,NULL
393.0,393.0,3,1,11.6
394.0,394.0,3,1,21
396.0,396.0,3,1,20.5
397.0,397.0,3,1,13.5
398.0,398.0,3,1,8
400.0,400.0,3,1,18.9
401.0,401.0,3,1,13.4
402.0,402.0,3,1,15.4
404.0,404.0,3,1,17.2
405.0,405.0,3,1,9.0
406.0,406.0,3,1,14
407.0,407.0,3,1,14.3
408.0,408.0,3,1,12
409.0,409.0,3,1,13
411.0,411.0,3,1,20
412.0,412.0,3,1,12.4
413.0,413.0,3,1,4
414.0,414.0,3,1,NULL
415.0,415.0,3,1,12.4
416.0,416.0,3,1,16
417.0,417.0,3,1,21.6
418.0,418.0,3,1,21.6
419.0,419.0,3,1,14.2
420.0,420.0,3,1,15
421.0,421.0,3,1,19.8
422.0,422.0,3,1,11.7
423.0,423.0,3,1,13
424.0,424.0,3,1,12.9
425.0,425.0,3,1,15.4
427.0,427.0,3,1,18
428.0,428.0,3,1,NULL
429.0,429.0,3,1,21.6
431.0,431.0,3,1,10.3
432.0,432.0,3,1,14
433.0,433.0,3,1,13.1
434.0,434.0,3,1,10.5
435.0,435.0,3,1,11.1
436.0,436.0,3,1,22.0
437.0,437.0,3,1,4
438.0,438.0,3,1,15.8
439.0,439.0,3,1,11.7
441.0,441.0,3,1,14
442.0,442.0,3,1,10.4
443.0,443.0,3,1,9
444.0,444.0,3,1,15.5
445.0,445.0,3,1,16.3
447.0,447.0,3,1,NULL
448.0,448.0,3,1,13.8
449.0,449.0,3,1,12.9
450.0,450.0,3,1,9
451.0,451.0,3,1,22.4
452.0,452.0,3,1,20.3
453.0,453.0,3,1,12.3
456.0,456.0,3,1,25
457.0,457.0,3,1,12.5
458.0,458.0,3,1,15
459.0,459.0,3,1,13
460.0,460.0,3,1,NULL
462.0,462.0,3,1,21.7
463.0,463.0,3,1,17.8
464.0,464.0,3,1,18
465.0,465.0,3,1,17
468.0,468.0,3,1,8.8
470.0,470.0,3,1,21.6
471.0,471.0,3,1,9.8
474.0,474.0,3,1,6.7
476.0,476.0,3,1,18.6
477.0,477.0,3,1,13.4
478.0,478.0,3,1,14.6
479.0,479.0,3,1,8.8
481.0,481.0,3,1,NULL
482.0,482.0,3,1,16
483.0,483.0,3,1,15.9
484.0,484.0,3,1,10
485.0,485.0,3,1,16.8
486.0,486.0,3,1,8.3
488.0,488.0,3,1,12.7
489.0,489.0,3,1,14.2
490.0,490.0,3,1,26.6
491.0,491.0,3,1,NULL
492.0,492.0,3,1,7
493.0,493.0,3,1,NULL
494.0,494.0,3,1,12.4
496.0,496.0,3,1,21.8
497.0,497.0,3,1,15.5
498.0,498.0,3,1,3
499.0,499.0,3,1,16.2
501.0,501.0,3,1,19.5
502.0,502.0,3,1,13.2
503.0,503.0,3,1,NULL
504.0,504.0,3,1,12.5
505.0,505.0,3,1,17
506.0,506.0,3,1,21.8
507.0,507.0,3,1,16.2
508.0,508.0,3,1,13.5
509.0,509.0,3,1,14.6
510.0,510.0,3,1,15
511.0,511.0,3,1,NULL
512.0,512.0,3,1,14.3
513.0,513.0,3,1,17.0
514.0,514.0,3,1,12.4
516.0,516.0,3,1,15
517.0,517.0,3,1,14.2
519.0,519.0,3,1,13.2
520.0,520.0,3,1,10.25
521.0,521.0,3,1,21
522.0,522.0,3,1,14.2
523.0,523.0,3,1,-2
524.0,524.0,3,1,17
525.0,525.0,3,1,3.4
526.0,526.0,3,1,18.2
527.0,527.0,3,1,18
528.0,528.0,3,1,NULL
529.0,529.0,3,1,14.2
530.0,530.0,3,1,19.5
531.0,531.0,3,1,17
532.0,532.0,3,1,16
533.0,533.0,3,1,16.1
534.0,534.0,3,1,14.8
535.0,535.0,3,1,14
536.0,536.0,3,1,12
538.0,538.0,3,1,15
540.0,540.0,3,1,17.2
541.0,541.0,3,1,16.1
542.0,542.0,3,1,17
544.0,544.0,3,1,16
545.0,545.0,3,1,NULL
546.0,546.0,3,1,11.6
547.0,547.0,3,1,16
548.0,548.0,3,1,NULL
549.0,549.0,3,1,NULL
550.0,550.0,3,1,16.4
552.0,552.0,3,1,16
553.0,553.0,3,1,22
554.0,554.0,3,1,14.4
555.0,555.0,3,1,17
557.0,557.0,3,1,17.45
558.0,558.0,3,1,16.7
559.0,559.0,3,1,16.8
560.0,560.0,3,1,14.7
561.0,561.0,3,1,NULL
562.0,562.0,3,1,16.3
564.0,564.0,3,1,17
565.0,565.0,3,1,11.6
566.0,566.0,3,1,7.6
567.0,567.0,3,1,16.9
568.0,568.0,3,1,23.7
569.0,569.0,3,1,16.4
570.0,570.0,3,1,16.8
571.0,571.0,3,1,15.1
572.0,572.0,3,1,15.8
573.0,573.0,3,1,18
574.0,574.0,3,1,16
575.0,575.0,3,1,NULL
576.0,576.0,3,1,NULL
577.0,577.0,3,1,16.5
578.0,578.0,3,1,17
580.0,580.0,3,1,12
581.0,581.0,3,1,16
582.0,582.0,3,1,13
584.0,584.0,3,1,19
585.0,585.0,3,1,20
586.0,586.0,3,1,16.3
587.0,587.0,3,1,17.4
588.0,588.0,3,1,18.1
589.0,589.0,3,1,17.1
590.0,590.0,3,1,17.2
591.0,591.0,3,1,15.45
592.0,592.0,3,1,NULL
593.0,593.0,3,1,14
594.0,594.0,3,1,12.3
595.0,595.0,3,1,15
596.0,596.0,3,1,NULL
597.0,597.0,3,1,17.1
598.0,598.0,3,1,17.2
599.0,599.0,3,1,17
600.0,600.0,3,1,17
601.0,601.0,3,1,16.3
602.0,602.0,3,1,16
604.0,604.0,3,1,16.6
605.0,605.0,3,1,NULL
606.0,606.0,3,1,NULL
607.0,607.0,3,1,10
608.0,608.0,3,1,10
609.0,609.0,3,1,15.5
611.0,611.0,3,1,15.5
612.0,612.0,3,1,14.5
613.0,613.0,3,1,15.1
614.0,614.0,3,1,NULL
615.0,615.0,3,1,7
616.0,616.0,3,1,7.5
617.0,617.0,3,1,9
618.0,618.0,3,1,14.4
620.0,620.0,3,1,16
621.0,621.0,3,1,15.8
624.0,624.0,3,1,9
625.0,625.0,3,1,NULL
626.0,626.0,3,1,17.8
627.0,627.0,3,1,NULL
630.0,630.0,3,1,NULL
631.0,631.0,3,1,NULL
633.0,633.0,3,1,NULL
635.0,635.0,3,1,13.5
636.0,636.0,3,1,17
637.0,637.0,3,1,13.3
639.0,639.0,3,1,10
640.0,640.0,3,1,NULL
641.0,641.0,3,1,15.5
642.0,642.0,3,1,20
643.0,643.0,3,1,12.98
644.0,644.0,3,1,16.1
645.0,645.0,3,1,14.7
646.0,646.0,3,1,12.6
647.0,647.0,3,1,15
648.0,648.0,3,1,14.5
650.0,650.0,3,1,16.5
651.0,651.0,3,1,NULL
652.0,652.0,3,1,22
653.0,653.0,3,1,17.5
654.0,654.0,3,1,14.5
655.0,655.0,3,1,16
656.0,656.0,3,1,11.5
658.0,658.0,3,1,16.5
659.0,659.0,3,1,18.2
660.0,660.0,3,1,14.7
663.0,663.0,3,1,12.9
664.0,664.0,3,1,NULL
666.0,666.0,3,1,16.7
667.0,667.0,3,1,6.7
668.0,668.0,3,1,13.3
671.0,671.0,3,1,7
672.0,672.0,3,1,NULL
674.0,674.0,3,1,16.1
675.0,675.0,3,1,19.1
676.0,676.0,3,1,NULL
677.0,677.0,3,1,13.4
678.0,678.0,3,1,13.4
682.0,682.0,3,1,NULL
683.0,683.0,3,1,NULL
684.0,684.0,3,1,13
685.0,685.0,3,1,14.2
686.0,686.0,3,1,14.4
687.0,687.0,3,1,8.6
688.0,688.0,3,1,NULL
690.0,690.0,3,1,10.3
691.0,691.0,3,1,11.5
692.0,692.0,3,1,6.6
693.0,693.0,3,1,12.8
694.0,694.0,3,1,13.2
695.0,695.0,3,1,11.3
696.0,696.0,3,1,11.9
697.0,697.0,3,1,NULL
698.0,698.0,3,1,NULL
699.0,699.0,3,1,14.5
700.0,700.0,3,1,15.5
701.0,701.0,3,1,18
702.0,702.0,3,1,12
703.0,703.0,3,1,15.5
704.0,704.0,3,1,14.2
705.0,705.0,3,1,NULL
706.0,706.0,3,1,13
707.0,707.0,3,1,15.4
708.0,708.0,3,1,15.1
709.0,709.0,3,1,16.1
710.0,710.0,3,1,16.3
711.0,711.0,3,1,13.4
712.0,712.0,3,1,11.3
713.0,713.0,3,1,11.8
714.0,714.0,3,1,19.7
715.0,715.0,3,1,11.8
716.0,716.0,3,1,20
718.0,718.0,3,1,NULL
719.0,719.0,3,1,NULL
720.0,720.0,3,1,9.1
722.0,722.0,3,1,16.9
723.0,723.0,3,1,13.8
724.0,724.0,3,1,13
725.0,725.0,3,1,11
726.0,726.0,3,1,NULL
728.0,728.0,3,1,13.8
729.0,729.0,3,1,15.5
731.0,731.0,3,1,9
732.0,732.0,3,1,18.4
733.0,733.0,3,1,15
734.0,734.0,3,1,20
735.0,735.0,3,1,15.2
736.0,736.0,3,1,11.8
738.0,738.0,3,1,10
741.0,741.0,3,1,13.3
743.0,743.0,3,1,NULL
746.0,746.0,3,1,20
747.0,747.0,3,1,NULL
748.0,748.0,3,1,16.8
749.0,749.0,3,1,15.3
750.0,750.0,3,1,18
751.0,751.0,3,1,13.8
752.0,752.0,3,1,NULL
753.0,753.0,3,1,16.6
754.0,754.0,3,1,14.8
755.0,755.0,3,1,16
756.0,756.0,3,1,12
757.0,757.0,3,1,11.4
758.0,758.0,3,1,9
759.0,759.0,3,1,NULL
760.0,760.0,3,1,NULL
764.0,764.0,3,1,15.5
765.0,765.0,3,1,16.6
766.0,766.0,3,1,15
768.0,768.0,3,1,17
770.0,770.0,3,1,21.8
772.0,772.0,3,1,16
773.0,773.0,3,1,NULL
774.0,774.0,3,1,NULL
775.0,775.0,3,1,12
776.0,776.0,3,1,NULL
777.0,777.0,3,1,12.5
778.0,778.0,3,1,9.7
780.0,780.0,3,1,9.8
781.0,781.0,3,1,13.4
782.0,782.0,3,1,12.6
783.0,783.0,3,1,11.3
784.0,784.0,3,1,21
785.0,785.0,3,1,11
786.0,786.0,3,1,20
787.0,787.0,3,1,19.8
789.0,789.0,3,1,19.30
790.0,790.0,3,1,15.7
791.0,791.0,3,1,16.2
792.0,792.0,3,1,10
793.0,793.0,3,1,11.3
794.0,794.0,3,1,NULL
796.0,796.0,3,1,9.7
798.0,798.0,3,1,22
799.0,799.0,3,1,11
800.0,800.0,3,1,22
801.0,801.0,3,1,15.5
802.0,802.0,3,1,NULL
803.0,803.0,3,1,13
804.0,804.0,3,1,NULL
809.0,809.0,3,1,9
810.0,810.0,3,1,13
811.0,811.0,3,1,12.9
812.0,812.0,3,1,15
813.0,813.0,3,1,14.2
814.0,814.0,3,1,14.7
815.0,815.0,3,1,15
816.0,816.0,3,1,14.4
818.0,818.0,3,1,15
819.0,819.0,3,1,13.9
820.0,820.0,3,1,16
822.0,822.0,3,1,13.4
823.0,823.0,3,1,15
824.0,824.0,3,1,12.1
825.0,825.0,3,1,20
826.0,826.0,3,1,13.1
827.0,827.0,3,1,15.5
828.0,828.0,3,1,12.9
829.0,829.0,3,1,22
831.0,831.0,3,1,15.2
832.0,832.0,3,1,14.3
835.0,835.0,3,1,13.6
839.0,839.0,3,1,17.5
840.0,840.0,3,1,22.2
842.0,842.0,3,1,NULL
843.0,843.0,3,1,15.4
844.0,844.0,3,1,22
846.0,846.0,3,1,8
847.0,847.0,3,1,10
849.0,849.0,3,1,NULL
852.0,852.0,3,1,13.5
853.0,853.0,3,1,NULL
854.0,854.0,3,1,21.7
856.0,856.0,3,1,11.8
859.0,859.0,3,1,12.8
862.0,862.0,3,1,12.5
863.0,863.0,3,1,15
864.0,864.0,3,1,6
865.0,865.0,3,1,8.8
866.0,866.0,3,1,13.5
868.0,868.0,3,1,17.2
869.0,869.0,3,1,8
870.0,870.0,3,1,9.9
871.0,871.0,3,1,NULL
873.0,873.0,3,1,16
875.0,875.0,3,1,14.7
876.0,876.0,3,1,12.6
878.0,878.0,3,1,15.2
879.0,879.0,3,1,15.8
881.0,881.0,3,1,16.6
883.0,883.0,3,1,NULL
884.0,884.0,3,1,10
885.0,885.0,3,1,NULL
886.0,886.0,3,1,15.5
887.0,887.0,3,1,16.2
888.0,888.0,3,1,10
889.0,889.0,3,1,14.2
890.0,890.0,3,1,13.4
893.0,893.0,3,1,16.6
895.0,895.0,3,1,NULL
897.0,897.0,3,1,15.6
899.0,899.0,3,1,16.7
900.0,900.0,3,1,16.2
901.0,901.0,3,1,15
902.0,902.0,3,1,10
903.0,903.0,3,1,22
904.0,904.0,3,1,NULL
905.0,905.0,3,1,12.2
907.0,907.0,3,1,4
908.0,908.0,3,1,20.5
909.0,909.0,3,1,12.3
910.0,910.0,3,1,14
911.0,911.0,3,1,NULL
913.0,913.0,3,1,11.5
914.0,914.0,3,1,13.1
915.0,915.0,3,1,12.2
916.0,916.0,3,1,17.6
918.0,918.0,3,1,NULL
920.0,920.0,3,1,15.8
921.0,921.0,3,1,22
922.0,922.0,3,1,16.5
923.0,923.0,3,1,13.4
924.0,924.0,3,1,13.8
925.0,925.0,3,1,13
926.0,926.0,3,1,NULL
927.0,927.0,3,1,16.1
929.0,929.0,3,1,NULL
930.0,930.0,3,1,NULL
931.0,931.0,3,1,12.1
934.0,934.0,3,1,13.1
935.0,935.0,3,1,11.5
936.0,936.0,3,1,15.5
938.0,938.0,3,1,21.3
939.0,939.0,3,1,13.6
940.0,940.0,3,1,13.6
941.0,941.0,3,1,15.36
942.0,942.0,3,1,11
943.0,943.0,3,1,10
944.0,944.0,3,1,7.5
945.0,945.0,3,1,10.6
946.0,946.0,3,1,15
947.0,947.0,3,1,NULL
949.0,949.0,3,1,13
950.0,950.0,3,1,13
951.0,951.0,3,1,11.8
952.0,952.0,3,1,9
953.0,953.0,3,1,21
954.0,954.0,3,1,13.4
955.0,955.0,3,1,22
956.0,956.0,3,1,9
958.0,958.0,3,1,8.6
959.0,959.0,3,1,21.9
960.0,960.0,3,1,21
961.0,961.0,3,1,12.8
962.0,962.0,3,1,21.8
964.0,964.0,3,1,9.7
965.0,965.0,3,1,15.5
966.0,966.0,3,1,9.8
967.0,967.0,3,1,13.2
968.0,968.0,3,1,11.6
972.0,972.0,3,1,10
974.0,974.0,3,1,16
975.0,975.0,3,1,NULL
976.0,976.0,3,1,14
977.0,977.0,3,1,13.3
978.0,978.0,3,1,11.3
979.0,979.0,3,1,NULL
980.0,980.0,3,1,NULL
981.0,981.0,3,1,12.9
982.0,982.0,3,1,11.7
983.0,983.0,3,1,16.1
984.0,984.0,3,1,NULL
986.0,986.0,3,1,NULL
987.0,987.0,3,1,15
988.0,988.0,3,1,14
989.0,989.0,3,1,NULL
990.0,990.0,3,1,12.8
991.0,991.0,3,1,16.0
993.0,993.0,3,1,19.6
994.0,994.0,3,1,17
996.0,996.0,3,1,17
997.0,997.0,3,1,14
998.0,998.0,3,1,12.3
999.0,999.0,3,1,16
1000.0,1000.0,3,1,14.2
1002.0,1002.0,3,1,NULL
1003.0,1003.0,3,1,14
1005.0,1005.0,3,1,16.2
1006.0,1006.0,3,1,17.9
1007.0,1007.0,3,1,NULL
1008.0,1008.0,3,1,10
1009.0,1009.0,3,1,14.2
1010.0,1010.0,3,1,NULL
1011.0,1011.0,3,1,NULL
1014.0,1014.0,3,1,16
1015.0,1015.0,3,1,14.3
1016.0,1016.0,3,1,NULL
1017.0,1017.0,3,1,16
1018.0,1018.0,3,1,NULL
1019.0,1019.0,3,1,12.9
1020.0,1020.0,3,1,13.4
1022.0,1022.0,3,1,13.9
1027.0,1027.0,3,1,NULL
1031.0,1031.0,3,1,NULL
1032.0,1032.0,3,1,16.37
1033.0,1033.0,3,1,21.9
1036.0,1036.0,3,1,16.7
1037.0,1037.0,3,1,16.5
1038.0,1038.0,3,1,12
1041.0,1041.0,3,1,NULL
1043.0,1043.0,3,1,11.3
1044.0,1044.0,3,1,22.3
1045.0,1045.0,3,1,10
1046.0,1046.0,3,1,16.7
1047.0,1047.0,3,1,10.2
1048.0,1048.0,3,1,12.6
1049.0,1049.0,3,1,16.7
1050.0,1050.0,3,1,11
1051.0,1051.0,3,1,NULL
1053.0,1053.0,3,1,11.8
1055.0,1055.0,3,1,15.1
1056.0,1056.0,3,1,15.5
1057.0,1057.0,3,1,9.8
1058.0,1058.0,3,1,12.7
1059.0,1059.0,3,1,8
1060.0,1060.0,3,1,21.8
1061.0,1061.0,3,1,21.7
1062.0,1062.0,3,1,11
1063.0,1063.0,3,1,9.8
1064.0,1064.0,3,1,13.9
1065.0,1065.0,3,1,13.1
1066.0,1066.0,3,1,22
1067.0,1067.0,3,1,13.5
1069.0,1069.0,3,1,NULL
1070.0,1070.0,3,1,20.5
1074.0,1074.0,3,1,NULL
1075.0,1075.0,3,1,NULL
1076.0,1076.0,3,1,12.5
1077.0,1077.0,3,1,20
1079.0,1079.0,3,1,14
1081.0,1081.0,3,1,16.5
1082.0,1082.0,3,1,14.2
1084.0,1084.0,3,1,13.4
1085.0,1085.0,3,1,14.8
1086.0,1086.0,3,1,12.5
1087.0,1087.0,3,1,10
1089.0,1089.0,3,1,12.9
1090.0,1090.0,3,1,12.4
1091.0,1091.0,3,1,14.3
1093.0,1093.0,3,1,13.6
1095.0,1095.0,3,1,15.4
1096.0,1096.0,3,1,15.7
1097.0,1097.0,3,1,14.3
1098.0,1098.0,3,1,12.3
1099.0,1099.0,3,1,15.2
1100.0,1100.0,3,1,12.5
1101.0,1101.0,3,1,12.2
1102.0,1102.0,3,1,15.8
1103.0,1103.0,3,1,14.5
1104.0,1104.0,3,1,15.4
1105.0,1105.0,3,1,NULL
1106.0,1106.0,3,1,9.2
1107.0,1107.0,3,1,10
1108.0,1108.0,3,1,8.7
1109.0,1109.0,3,1,7
1110.0,1110.0,3,1,10.5
1112.0,1112.0,3,1,10.3
1113.0,1113.0,3,1,10.72
1114.0,1114.0,3,1,5
1116.0,1116.0,3,1,13.5
1117.0,1117.0,3,1,13.9
1119.0,1119.0,3,1,11.4
1120.0,1120.0,3,1,NULL
1124.0,1124.0,3,1,11.6
1125.0,1125.0,3,1,NULL
1131.0,1131.0,3,1,15.5
1132.0,1132.0,3,1,NULL
1133.0,1133.0,3,1,NULL
1134.0,1134.0,3,1,9
1136.0,1136.0,3,1,16.2
1137.0,1137.0,3,1,9.9
1138.0,1138.0,3,1,21.8
1140.0,1140.0,3,1,14.4
1141.0,1141.0,3,1,11
1142.0,1142.0,3,1,11.6
1143.0,1143.0,3,1,13.9
1145.0,1145.0,3,1,9
1146.0,1146.0,3,1,10.2
1148.0,1148.0,3,1,9.8
1151.0,1151.0,3,1,15
1154.0,1154.0,3,1,14.2
1155.0,1155.0,3,1,10.61
1156.0,1156.0,3,1,20
1158.0,1158.0,3,1,11.6
1159.0,1159.0,3,1,12.5
1160.0,1160.0,3,1,15.8
1161.0,1161.0,3,1,NULL
